RowID,OrderID,OrderDate,ShipDate,CustomerID,CustomerName,PostalCode,City,State,Country,Region,Market,Segment,ProductID,Category,SubCategory,ProductName,OrderPriority,ShipMode,Sales,Quantity,Discount,Profit,ShippingCost
29864,IN-2014-JD1589527-41975,12-02-14,12-04-14,JD-1589527,Jonathan Doherty,,Chongqing,Chongqing,China,Eastern Asia,Asia Pacific,Corporate,TEC-CO-3598,Technology,Copiers,"Brother Fax Machine, Laser",High,First Class,$637.08 ,2,0,$191.10 ,$82.37 
23339,IN-2014-RB194657-41898,9/16/2014,9/19/2014,RB-194657,Rick Bensley,,Devonport,Tasmania,Australia,Oceania,Asia Pacific,Home Office,TEC-PH-3796,Technology,Phones,"Cisco Office Telephone, Cordless",High,Second Class,$449.87 ,6,0.1,$69.89 ,$82.37 
15113,ES-2014-AS1004545-41731,04-02-14,04-05-14,AS-1004545,Aaron Smayling,,Nancy,Alsace-Champagne-Ardenne-Lorraine,France,Western Europe,Europe,Corporate,OFF-ST-6060,Office Supplies,Storage,"Smead Shelving, Wire Frame",Medium,First Class,$302.40 ,7,0.1,$120.96 ,$82.36 
36338,CA-2014-AI10855140-41954,11-11-14,11/14/2014,AI-108551404,Arianne Irving,90036,Los Angeles,California,United States,Western US,USCA,Consumer,OFF-PA-4139,Office Supplies,Paper,Embossed Ink Jet Note Cards,High,Second Class,$67.71 ,3,0,$32.50 ,$10.83 
36493,CA-2012-AI10855140-41038,05-09-12,5/14/2012,AI-108551404,Arianne Irving,98031,Kent,Washington,United States,Western US,USCA,Consumer,OFF-EN-6212,Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",Medium,Standard Class,$158.13 ,3,0,$77.48 ,$10.65 
20418,IN-2012-NW1840027-41234,11/21/2012,11/24/2012,NW-1840027,Natalie Webber,,Jieshou,Anhui,China,Eastern Asia,Asia Pacific,Consumer,FUR-FU-3030,Furniture,Furnishings,"Advantus Door Stop, Erganomic",Critical,First Class,$218.25 ,5,0,$19.50 ,$82.31 
27671,IN-2013-CM1265559-41535,9/18/2013,9/20/2013,CM-1265559,Corinna Mitchell,,Depok,Yogyakarta,Indonesia,Southeastern Asia,Asia Pacific,Home Office,FUR-CH-5440,Furniture,Chairs,"Office Star Chairmat, Set of Two",High,First Class,$347.84 ,7,0.27,$47.54 ,$82.30 
36341,CA-2014-AI10855140-41954,11-11-14,11/14/2014,AI-108551404,Arianne Irving,90036,Los Angeles,California,United States,Western US,USCA,Consumer,OFF-PA-6487,Office Supplies,Paper,Xerox 1933,High,Second Class,$61.40 ,5,0,$28.86 ,$8.68 
38989,CA-2012-AI10855140-41271,12/28/2012,01-02-13,AI-108551404,Arianne Irving,94513,Brentwood,California,United States,Western US,USCA,Consumer,OFF-LA-3083,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,Medium,Standard Class,$88.80 ,6,0,$44.40 ,$7.90 
17283,IT-2012-ED1388564-41066,06-06-12,06-12-12,ED-1388564,Emily Ducich,,Palermo,Sicily,Italy,Southern Europe,Europe,Home Office,TEC-CO-3605,Technology,Copiers,"Brother Personal Copier, Digital",Low,Standard Class,$712.65 ,5,0,$14.25 ,$82.24 
